Type,Trans Date,Post Date,Description,Amount
SALE,03/26/2015,03/29/2015,"PORTOFINO WINE BANK",-40.25
SALE,04/01/2015,04/02/2015,"GULF OIL 92038891",-1.39
SALE,04/11/2015,04/12/2015,"SQ *RESTRANT ON THE RISE",-7.50
SALE,05/11/2015,05/12/2015,"USA*Priority Vending",-2.60
SALE,03/27/2015,03/29/2015,"UBER",-2.46
SALE,04/17/2015,04/19/2015,"SQ *PHOENIX COFFEE COMPAN",-2.00
SALE,04/28/2015,04/28/2015,"GROUPON INC",-1198.00
SALE,04/26/2015,04/28/2015,"SHELL OIL 57445534605",-1.69
SALE,05/08/2015,05/10/2015,"SHELL OIL 57424318004",-2.15
SALE,05/25/2015,05/26/2015,"TAZA",-44.83
SALE,03/25/2015,03/27/2015,"T1 BAG LIME A 12600011",-10.47
SALE,04/23/2015,04/26/2015,"T J MAXX #875",-14.02
SALE,05/08/2015,05/10/2015,"PETSMART INC 2313",-56.11
SALE,03/28/2015,03/29/2015,"UBER TECHNOLOGIES INC",-3.05
SALE,04/09/2015,04/10/2015,"CVS/PHARMACY #03338",-2.69
SALE,05/23/2015,05/25/2015,"TOWN HALL",-46.96
SALE,04/21/2015,04/23/2015,"BURGER KING   11232006",-2.09
SALE,05/04/2015,05/05/2015,"STARBUCKS #02265 CLEVELAN",-19.25
SALE,03/22/2015,03/24/2015,"SHELL OIL 57424318004",-4.94
SALE,03/27/2015,03/27/2015,"DECO BIKE",-4.28
SALE,05/20/2015,05/21/2015,"USA*Priority Vending",-2.60
SALE,05/13/2015,05/14/2015,"SQ *PHOENIX COFFEE COMPAN",-3.20
SALE,03/20/2015,03/22/2015,"SQ *RESTRANT PHOENIX COFF",-4.80
SALE,04/01/2015,04/03/2015,"BEST WESTERN WEEDSPORT",-90.39
SALE,04/13/2015,04/14/2015,"PETSMART INC 2313",-75.14
SALE,03/15/2015,03/16/2015,"CVS/PHARMACY #03634",-7.91
SALE,03/20/2015,03/22/2015,"CLEVELAND ORCHESTRA",-29.00
SALE,04/01/2015,04/02/2015,"TRAVEL TRADERS 3052",-3.18
SALE,03/09/2015,03/11/2015,"RAILSAPPS",-9.00
SALE,05/23/2015,05/24/2015,"FLYING FIG",-3.50
SALE,04/28/2015,04/30/2015,"HAPPY DOG AT EUCLID TAVER",-34.18
SALE,05/11/2015,05/12/2015,"SQ *PHOENIX COFFEE COMPAN",-8.50
SALE,03/11/2015,03/13/2015,"DELIVERMEFOOD.COM",-27.84
SALE,04/28/2015,04/29/2015,"VACATION EXPRESS",-1258.00
SALE,05/21/2015,05/22/2015,"WHOLEFDS CTR 10199",-133.86
SALE,05/01/2015,05/03/2015,"CEDAR LEE THEATRE",-19.00
SALE,05/14/2015,05/15/2015,"HIGH THAI D",-39.70
SALE,03/14/2015,03/15/2015,"SQ *PHOENIX COFFEE COMPAN",-2.00
SALE,03/28/2015,03/29/2015,"PURA VIDA SMOOTHIE BAR",-25.57
SALE,04/20/2015,04/22/2015,"CAFE TANDOOR CLEVELAND HE",-66.62
SALE,04/22/2015,04/23/2015,"PETSMART INC 2313",-22.67
SALE,05/29/2015,06/01/2015,"EDDYS ON COVENTRY",-35.00
SALE,03/22/2015,03/23/2015,"PANERA BREAD #4635",-8.90
SALE,04/11/2015,04/13/2015,"RADIOSHACK COR00142158",-4.85
PAYMENT,03/30/2015,03/30/2015,"Payment Thank You - Web",6982.84
SALE,05/30/2015,06/01/2015,"SHELL OIL 57424307908",-32.55
SALE,05/17/2015,05/18/2015,"FAIRMOUNT MARTINI & WI",-8.48
SALE,05/08/2015,05/10/2015,"SHELL OIL 57424318004",-27.14
SALE,04/03/2015,04/05/2015,"BLENDED HEALTH CAFE",-11.66
SALE,03/12/2015,03/13/2015,"2159 S GREEN",-36.00
SALE,03/30/2015,03/30/2015,"UBER TECHNOLOGIES INC",-6.89
SALE,03/31/2015,04/01/2015,"MCDONALD'S F13888",-1.39
SALE,05/16/2015,05/17/2015,"CODINGFORENTREPRENEURS",-25.00
SALE,03/25/2015,03/27/2015,"STARBUCKS C   12591517",-6.95
SALE,05/04/2015,05/04/2015,"APL* ITUNES.COM/BILL",-16.19
SALE,03/16/2015,03/17/2015,"CODINGFORENTREPRENEURS",-25.00
SALE,05/01/2015,05/04/2015,"THE RIB CAGE",-18.00
SALE,05/03/2015,05/04/2015,"WHOLEFDS CTR 10199",-138.77
SALE,05/21/2015,05/22/2015,"SQ *PHOENIX COFFEE COMPAN",-4.20
SALE,04/08/2015,04/09/2015,"SQ *PHOENIX COFFEE COMPAN",-3.30
SALE,05/10/2015,05/11/2015,"WHOLEFDS CTR 10199",-103.84
SALE,04/25/2015,04/27/2015,"RUSSELL STREET DELI",-4.19
SALE,05/28/2015,05/31/2015,"SHELL OIL 57424318004",-21.48
SALE,04/20/2015,04/21/2015,"USA*Priority Vending",-2.60
SALE,04/30/2015,05/01/2015,"STARBUCKS #02265 CLEVELAN",-1.75
SALE,04/08/2015,04/08/2015,"APL* ITUNES.COM/BILL",-10.79
SALE,04/16/2015,04/17/2015,"LAURA LEE SALON INC",-190.00
SALE,05/28/2015,05/29/2015,"WHOLEFDS CTR 10199",-35.99
SALE,04/17/2015,04/19/2015,"USA*Priority Vending (OH)",-1.35
SALE,04/05/2015,04/06/2015,"SQ *RESTRANT ON THE RISE",-18.00
SALE,05/11/2015,05/13/2015,"SHELL OIL 57424307908",-2.98
SALE,04/24/2015,04/27/2015,"EDDYS ON COVENTRY",-35.00
SALE,03/20/2015,03/22/2015,"INTERNATIONAL VIOLIN",-42.20
SALE,05/16/2015,05/18/2015,"SHELL OIL 57424307908",-23.06
SALE,04/01/2015,04/03/2015,"LIFE ALIVE CAMBRIDGE",-24.45
SALE,03/17/2015,03/18/2015,"STARBUCKS #02321 HUDSON",-4.90
SALE,05/13/2015,05/14/2015,"USA*Priority Vending",-2.60
SALE,05/30/2015,06/01/2015,"ATHLETA 4906",-69.12
SALE,05/25/2015,05/26/2015,"PETSMART INC 2313",-65.01
SALE,05/30/2015,05/31/2015,"H&M #099",-33.37
SALE,05/30/2015,05/31/2015,"WHOLEFDS CTR 10199",-125.22
SALE,03/27/2015,03/27/2015,"UBER TECHNOLOGIES INC",-3.04
SALE,03/07/2015,03/09/2015,"TMS*JUGOFRESH SOUTH PO",-19.26
SALE,03/31/2015,04/02/2015,"SHELL OIL 57444372205",-23.51
SALE,03/26/2015,03/27/2015,"PURA VIDA SMOOTHIE BAR",-29.75
SALE,03/12/2015,03/13/2015,"SQ *PHOENIX COFFEE COMPAN",-2.00
SALE,03/25/2015,03/26/2015,"HUDSON NEWS CLEVELAND",-10.37
SALE,05/09/2015,05/11/2015,"RESIDENCE INNS COLMBS D/T",-136.10
SALE,03/13/2015,03/15/2015,"SPEEDWAY 03345 607",-13.32
SALE,04/26/2015,04/28/2015,"DAVE'S SUPERMARKET",-12.65
SALE,04/05/2015,04/06/2015,"TAZA",-50.01
SALE,03/26/2015,03/29/2015,"Yardbird Southern Table &",-117.49
SALE,03/29/2015,03/30/2015,"Khong River House",-136.44
SALE,05/15/2015,05/17/2015,"SQ *PHOENIX COFFEE COMPAN",-2.20
SALE,04/29/2015,05/01/2015,"HIGH THAI D",-44.45
SALE,04/01/2015,04/02/2015,"GULF OIL 92038891",-29.43
SALE,03/30/2015,03/31/2015,"PETSMART INC 2313",-77.42
SALE,05/01/2015,05/03/2015,"DAVE'S SUPERMARKET",-3.99
SALE,04/27/2015,04/29/2015,"CINEMARK THEATRES 283",-19.40
SALE,03/11/2015,03/12/2015,"SQ *PHOENIX COFFEE COMPAN",-4.50
SALE,05/22/2015,05/24/2015,"USA*Priority Vending",-2.60
SALE,03/11/2015,03/12/2015,"CVS/PHARMACY #03634",-10.79
SALE,04/02/2015,04/05/2015,"STONE OVEN BAKERY",-13.00
SALE,05/30/2015,05/31/2015,"CVS/PHARMACY #03634",-50.83
SALE,05/07/2015,05/10/2015,"PICCADILLY ARTISAN YOGUR",-2.17
SALE,03/30/2015,03/31/2015,"WHOLEFDS CTR 10199",-111.07
